Date,Product,Category,Store,Units Sold,Unit Price,Revenue
2025-01-15,Gold Ring 22K,Rings,Downtown,9,850,7650
2025-01-21,Gold Ring 22K,Rings,Mall Plaza,7,850,5950
2025-01-05,Gold Ring 22K,Rings,Airport,1,850,850
2025-01-27,Diamond Solitaire Ring,Rings,Mall Plaza,7,2400,16800
2025-01-10,Diamond Solitaire Ring,Rings,Airport,3,2400,7200
2025-01-23,Silver Band Ring,Rings,Mall Plaza,9,120,1080
2025-01-08,Silver Band Ring,Rings,Airport,9,120,1080
2025-01-27,Gold Chain Necklace,Necklaces,Mall Plaza,8,1100,8800
2025-01-18,Pearl Necklace,Necklaces,Downtown,2,450,900
2025-01-14,Pearl Necklace,Necklaces,Mall Plaza,8,450,3600
2025-01-14,Pearl Necklace,Necklaces,Airport,1,450,450
2025-01-15,Diamond Pendant,Necklaces,Downtown,7,1600,11200
2025-01-24,Diamond Pendant,Necklaces,Mall Plaza,8,1600,12800
2025-01-12,Gold Hoop Earrings,Earrings,Downtown,9,380,3420
2025-01-08,Gold Hoop Earrings,Earrings,Airport,1,380,380
2025-01-01,Diamond Stud Earrings,Earrings,Downtown,2,950,1900
2025-01-07,Diamond Stud Earrings,Earrings,Mall Plaza,4,950,3800
2025-01-20,Diamond Stud Earrings,Earrings,Airport,6,950,5700
2025-01-17,Silver Drop Earrings,Earrings,Downtown,7,95,665
2025-01-03,Silver Drop Earrings,Earrings,Airport,9,95,855
2025-01-07,Gold Bangle,Bracelets,Downtown,8,720,5760
2025-01-02,Gold Bangle,Bracelets,Airport,1,720,720
2025-01-15,Tennis Bracelet,Bracelets,Mall Plaza,10,1900,19000
2025-01-11,Tennis Bracelet,Bracelets,Airport,4,1900,7600
2025-01-12,Charm Bracelet,Bracelets,Downtown,1,260,260
2025-01-12,Charm Bracelet,Bracelets,Mall Plaza,8,260,2080
2025-01-15,Luxury Gold Watch,Watches,Downtown,8,3200,25600
2025-01-14,Luxury Gold Watch,Watches,Mall Plaza,5,3200,16000
2025-01-15,Silver Watch,Watches,Mall Plaza,4,540,2160
2025-01-23,Silver Watch,Watches,Airport,6,540,3240
2025-01-16,Bridal Jewelry Set,Sets,Mall Plaza,6,4500,27000
2025-01-19,Gold Anklet,Anklets,Mall Plaza,5,310,1550
2025-01-18,Gold Anklet,Anklets,Airport,9,310,2790
2025-02-04,Gold Ring 22K,Rings,Downtown,9,850,7650
2025-02-10,Gold Ring 22K,Rings,Airport,14,850,11900
2025-02-02,Diamond Solitaire Ring,Rings,Downtown,3,2400,7200
2025-02-13,Diamond Solitaire Ring,Rings,Mall Plaza,18,2400,43200
2025-02-26,Silver Band Ring,Rings,Downtown,12,120,1440
2025-02-15,Silver Band Ring,Rings,Mall Plaza,10,120,1200
2025-02-07,Silver Band Ring,Rings,Airport,6,120,720
2025-02-27,Gold Chain Necklace,Necklaces,Mall Plaza,12,1100,13200
2025-02-08,Pearl Necklace,Necklaces,Downtown,14,450,6300
2025-02-07,Pearl Necklace,Necklaces,Mall Plaza,3,450,1350
2025-02-21,Pearl Necklace,Necklaces,Airport,13,450,5850
2025-02-26,Diamond Pendant,Necklaces,Mall Plaza,5,1600,8000
2025-02-07,Gold Hoop Earrings,Earrings,Airport,15,380,5700
2025-02-02,Diamond Stud Earrings,Earrings,Downtown,5,950,4750
2025-02-02,Diamond Stud Earrings,Earrings,Mall Plaza,15,950,14250
2025-02-02,Silver Drop Earrings,Earrings,Downtown,14,95,1330
2025-02-09,Silver Drop Earrings,Earrings,Airport,8,95,760
2025-02-12,Gold Bangle,Bracelets,Downtown,13,720,9360
2025-02-19,Gold Bangle,Bracelets,Mall Plaza,9,720,6480
2025-02-17,Gold Bangle,Bracelets,Airport,15,720,10800
2025-02-11,Tennis Bracelet,Bracelets,Downtown,3,1900,5700
2025-02-16,Tennis Bracelet,Bracelets,Airport,11,1900,20900
2025-02-23,Charm Bracelet,Bracelets,Downtown,16,260,4160
2025-02-02,Charm Bracelet,Bracelets,Mall Plaza,8,260,2080
2025-02-01,Charm Bracelet,Bracelets,Airport,10,260,2600
2025-02-17,Luxury Gold Watch,Watches,Downtown,16,3200,51200
2025-02-18,Luxury Gold Watch,Watches,Mall Plaza,2,3200,6400
2025-02-16,Luxury Gold Watch,Watches,Airport,7,3200,22400
2025-02-03,Bridal Jewelry Set,Sets,Mall Plaza,5,4500,22500
2025-02-04,Bridal Jewelry Set,Sets,Airport,5,4500,22500
2025-02-21,Gold Anklet,Anklets,Airport,8,310,2480
2025-03-19,Gold Ring 22K,Rings,Downtown,6,850,5100
2025-03-23,Gold Ring 22K,Rings,Mall Plaza,10,850,8500
2025-03-01,Gold Ring 22K,Rings,Airport,2,850,1700
2025-03-15,Diamond Solitaire Ring,Rings,Mall Plaza,4,2400,9600
2025-03-19,Diamond Solitaire Ring,Rings,Airport,6,2400,14400
2025-03-12,Silver Band Ring,Rings,Mall Plaza,11,120,1320
2025-03-24,Gold Chain Necklace,Necklaces,Downtown,7,1100,7700
2025-03-04,Gold Chain Necklace,Necklaces,Mall Plaza,10,1100,11000
2025-03-15,Pearl Necklace,Necklaces,Downtown,11,450,4950
2025-03-16,Pearl Necklace,Necklaces,Mall Plaza,11,450,4950
2025-03-02,Pearl Necklace,Necklaces,Airport,2,450,900
2025-03-09,Diamond Pendant,Necklaces,Downtown,6,1600,9600
2025-03-05,Diamond Pendant,Necklaces,Airport,5,1600,8000
2025-03-12,Gold Hoop Earrings,Earrings,Downtown,5,380,1900
2025-03-13,Gold Hoop Earrings,Earrings,Mall Plaza,3,380,1140
2025-03-20,Gold Hoop Earrings,Earrings,Airport,12,380,4560
2025-03-24,Diamond Stud Earrings,Earrings,Mall Plaza,11,950,10450
2025-03-11,Diamond Stud Earrings,Earrings,Airport,3,950,2850
2025-03-17,Silver Drop Earrings,Earrings,Downtown,14,95,1330
2025-03-18,Silver Drop Earrings,Earrings,Mall Plaza,7,95,665
2025-03-23,Silver Drop Earrings,Earrings,Airport,9,95,855
2025-03-27,Gold Bangle,Bracelets,Mall Plaza,2,720,1440
2025-03-03,Tennis Bracelet,Bracelets,Downtown,13,1900,24700
2025-03-18,Tennis Bracelet,Bracelets,Mall Plaza,8,1900,15200
2025-03-16,Tennis Bracelet,Bracelets,Airport,4,1900,7600
